Clave,Entidad federativa,Código,Nivel de escolaridad,Total
11,Guanajuato,1,Ninguno,-
11,Guanajuato,2,Preescolar o primaria,-
11,Guanajuato,3,Secundaria, 1 630
11,Guanajuato,4,Preparatoria, 2 032
11,Guanajuato,5,Carrera técnica o carrera comercial,  59
11,Guanajuato,6,Licenciatura,  411
11,Guanajuato,7,Maestría,  19
11,Guanajuato,8,Doctorado,  1
12,Guerrero,0,Total, 5 966
12,Guerrero,1,Ninguno,  0
12,Guerrero,2,Preescolar o primaria,  321
12,Guerrero,3,Secundaria, 2 081
12,Guerrero,4,Preparatoria, 2 324
12,Guerrero,5,Carrera técnica o carrera comercial,  168
12,Guerrero,6,Licenciatura, 1 042
12,Guerrero,7,Maestría,  28
12,Guerrero,8,Doctorado,  2
13,Hidalgo,0,Total, 5 173
13,Hidalgo,1,Ninguno,  8
13,Hidalgo,2,Preescolar o primaria,  114
13,Hidalgo,3,Secundaria, 2 144
13,Hidalgo,4,Preparatoria, 1 513
13,Hidalgo,5,Carrera técnica o carrera comercial,  595
13,Hidalgo,6,Licenciatura,  775
13,Hidalgo,7,Maestría,  23
13,Hidalgo,8,Doctorado,  1
14,Jalisco,0,Total, 5 818
14,Jalisco,1,Ninguno,  77
14,Jalisco,2,Preescolar o primaria,  64
14,Jalisco,3,Secundaria,  863
14,Jalisco,4,Preparatoria, 2 624
14,Jalisco,5,Carrera técnica o carrera comercial,  477
14,Jalisco,6,Licenciatura, 1 609
14,Jalisco,7,Maestría,  98
14,Jalisco,8,Doctorado,  6
15,México,0,Total, 20 122
15,México,1,Ninguno,  0
15,México,2,Preescolar o primaria,  31
15,México,3,Secundaria, 4 231
15,México,4,Preparatoria, 10 743
15,México,5,Carrera técnica o carrera comercial,  907
15,México,6,Licenciatura, 3 963
15,México,7,Maestría,  242
15,México,8,Doctorado,  5
16,Michoacán de Ocampo1,0,Total, 1 414
16,Michoacán de Ocampo1,1,Ninguno,  4
16,Michoacán de Ocampo1,2,Preescolar o primaria,  43
16,Michoacán de Ocampo1,3,Secundaria,  186
16,Michoacán de Ocampo1,4,Preparatoria,  118
16,Michoacán de Ocampo1,5,Carrera técnica o carrera comercial,  514
16,Michoacán de Ocampo1,6,Licenciatura,  532
16,Michoacán de Ocampo1,7,Maestría,  17
16,Michoacán de Ocampo1,8,Doctorado,  0
17,Morelos,0,Total, 1 804
17,Morelos,1,Ninguno,  0
17,Morelos,2,Preescolar o primaria,  17
17,Morelos,3,Secundaria,  830
17,Morelos,4,Preparatoria,  639
17,Morelos,5,Carrera técnica o carrera comercial,  99
17,Morelos,6,Licenciatura,  202
17,Morelos,7,Maestría,  15
17,Morelos,8,Doctorado,  2
18,Nayarit,0,Total, 1 728
18,Nayarit,1,Ninguno,  0
18,Nayarit,2,Preescolar o primaria,  0
18,Nayarit,3,Secundaria,  91
18,Nayarit,4,Preparatoria,  585
18,Nayarit,5,Carrera técnica o carrera comercial,  488
18,Nayarit,6,Licenciatura,  551
18,Nayarit,7,Maestría,  13
18,Nayarit,8,Doctorado,  0
19,Nuevo León,0,Total, 7 359
19,Nuevo León,1,Ninguno,  0
19,Nuevo León,2,Preescolar o primaria,  20
19,Nuevo León,3,Secundaria, 2 205
19,Nuevo León,4,Preparatoria, 3 187
19,Nuevo León,5,Carrera técnica o carrera comercial,  273
19,Nuevo León,6,Licenciatura, 1 603
19,Nuevo León,7,Maestría,  63
19,Nuevo León,8,Doctorado,  8
20,Oaxaca,0,Total, 8 202
20,Oaxaca,1,Ninguno,  336
20,Oaxaca,2,Preescolar o primaria,  475
20,Oaxaca,3,Secundaria, 3 179
20,Oaxaca,4,Preparatoria, 3 037
20,Oaxaca,5,Carrera técnica o carrera comercial,  130
20,Oaxaca,6,Licenciatura, 1 026
20,Oaxaca,7,Maestría,  18
20,Oaxaca,8,Doctorado,  1
21,Puebla,0,Total, 6 230
21,Puebla,1,Ninguno,  0
21,Puebla,2,Preescolar o primaria,  88
21,Puebla,3,Secundaria, 1 708
21,Puebla,4,Preparatoria, 2 651
21,Puebla,5,Carrera técnica o carrera comercial,  378
21,Puebla,6,Licenciatura, 1 312
21,Puebla,7,Maestría,  91
21,Puebla,8,Doctorado,  2
22,Querétaro,0,Total, 1 109
22,Querétaro,1,Ninguno,  0
22,Querétaro,2,Preescolar o primaria,  4
22,Querétaro,3,Secundaria,  32
